career,category,stream,after_class,description,skills,salary_range,growth_outlook,exam_required,top_colleges
Software Engineer,Private/IT,Science,12th & Engineering,"Design and build software applications, websites, and systems. One of the most in-demand careers globally.","programming, problem solving, mathematics, algorithms, data structures, logical thinking",₹4L–₹40L+,Excellent,JEE Main/JEE Advanced (for B.Tech),"IITs, NITs, BITS Pilani, VIT"
Data Scientist,Private/IT,Science,12th & Engineering,"Analyze large datasets to extract insights and build predictive ML models.","mathematics, statistics, programming, machine learning, data analysis, Python, R",₹6L–₹35L+,Excellent,JEE/GATE,"IITs, IISc, ISI Kolkata"
AI/ML Engineer,Private/IT,Science,12th & Engineering,"Build artificial intelligence and machine learning models for automation and decision-making.","mathematics, programming, machine learning, statistics, Python, deep learning",₹8L–₹40L+,Excellent,JEE/GATE,"IITs, IISc, IIIT Hyderabad"
Cybersecurity Analyst,Private/IT,Science,12th & Engineering,"Protect computer systems and networks from digital attacks and security breaches.","programming, networking, ethical hacking, problem solving, attention to detail",₹5L–₹30L+,Excellent,CEH/CISSP certifications,"NITs, VIT, SRM, BITS"
Game Developer,Private/IT,Science,12th & Engineering,"Design and program video games for consoles, PCs, or mobile platforms.","programming, creativity, mathematics, problem solving, game design, Unity, Unreal",₹4L–₹20L,Good,JEE (for B.Tech),"MAAC, Arena Animation, NITs"
Cloud Engineer,Private/IT,Science,12th & Engineering,"Build and manage cloud infrastructure on AWS, Azure, or Google Cloud platforms.","programming, networking, Linux, cloud computing, DevOps, problem solving",₹6L–₹35L+,Excellent,AWS/Azure Certifications,"NITs, IITs, Private Engineering Colleges"
Full Stack Developer,Private/IT,Science,12th & Engineering,"Develop both frontend and backend of web applications end-to-end.","programming, HTML, CSS, JavaScript, databases, problem solving",₹4L–₹25L+,Excellent,Self-learning/Bootcamps,"Any Engineering College + Online Certs"
DevOps Engineer,Private/IT,Science,12th & Engineering,"Automate software delivery pipeline and manage infrastructure using CI/CD tools.","Linux, Docker, Kubernetes, scripting, cloud, problem solving",₹6L–₹30L+,Excellent,GATE/Certifications,"IITs, NITs, Tier-2 Engineering"
Civil Engineer,Engineering,Science,12th & Engineering,"Plan, design, and oversee construction of roads, bridges, dams, and buildings.","mathematics, physics, drawing, problem solving, project management, AutoCAD",₹3.5L–₹20L,Good,JEE Main/GATE,"IITs, NITs, BITS, DCE"
Mechanical Engineer,Engineering,Science,12th & Engineering,"Design and develop mechanical systems, machines, and manufacturing processes.","physics, mathematics, CAD, problem solving, creativity, thermodynamics",₹3.5L–₹18L,Good,JEE Main/GATE,"IITs, NITs, NIT Trichy, VIT"
